epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8503.4,1.474,0.72974,0.87171,0.90343,0.79817,0.88443,0.53107,1.32363,0.84752,0.85666,0.0095941,0.0095941,0.0095941
43,8709.18,1.474,0.7314,0.87232,0.89899,0.7945,0.88382,0.5353,1.3355,0.81284,0.85505,0.0095842,0.0095842,0.0095842
44,8911.44,1.45681,0.72243,0.86877,0.90692,0.80077,0.8877,0.53776,1.3357,0.77421,0.85558,0.0095743,0.0095743,0.0095743
45,9117.96,1.46422,0.72197,0.86928,0.91163,0.79584,0.88958,0.5476,1.30818,0.77876,0.85187,0.0095644,0.0095644,0.0095644
46,9320.1,1.47268,0.72442,0.86769,0.90953,0.80707,0.89182,0.54616,1.30646,0.80439,0.85145,0.0095545,0.0095545,0.0095545
47,9520.39,1.45109,0.71165,0.86759,0.90557,0.80551,0.89102,0.54808,1.31447,0.82585,0.85136,0.0095446,0.0095446,0.0095446
48,9718.64,1.45311,0.71158,0.86913,0.90774,0.81205,0.89598,0.54995,1.29834,0.84179,0.8499,0.0095347,0.0095347,0.0095347
49,9918.26,1.46676,0.72478,0.86744,0.91057,0.81096,0.89863,0.54704,1.316,0.81863,0.85203,0.0095248,0.0095248,0.0095248
50,10124.7,1.4507,0.71418,0.86911,0.90797,0.79468,0.88825,0.54019,1.31547,0.88381,0.85432,0.0095149,0.0095149,0.0095149
51,10321.4,1.45204,0.71715,0.86884,0.90327,0.81137,0.89479,0.54822,1.29389,0.79632,0.85071,0.009505,0.009505,0.009505
52,10518.6,1.44699,0.71272,0.86904,0.91146,0.80864,0.89484,0.54495,1.30883,0.88848,0.85167,0.0094951,0.0094951,0.0094951
53,10712.9,1.44803,0.7208,0.86743,0.90244,0.79569,0.88712,0.54431,1.32453,0.82717,0.85439,0.0094852,0.0094852,0.0094852
54,10909.1,1.4425,0.71326,0.86992,0.90936,0.81496,0.90045,0.55251,1.30457,0.80726,0.85256,0.0094753,0.0094753,0.0094753
55,11107.8,1.44066,0.70995,0.86723,0.918,0.81082,0.90046,0.55929,1.2989,0.82853,0.85135,0.0094654,0.0094654,0.0094654
56,11310.8,1.4335,0.70153,0.86532,0.91409,0.81954,0.90172,0.55181,1.2892,0.8271,0.85046,0.0094555,0.0094555,0.0094555
57,11513.7,1.44278,0.70905,0.86764,0.91063,0.81041,0.8977,0.5499,1.30002,0.80514,0.85179,0.0094456,0.0094456,0.0094456
58,11714.1,1.44506,0.71206,0.8666,0.92703,0.81123,0.90456,0.56315,1.27347,0.78809,0.84594,0.0094357,0.0094357,0.0094357
59,11910.5,1.43121,0.70206,0.86652,0.91527,0.81413,0.9037,0.55639,1.30801,0.79476,0.84937,0.0094258,0.0094258,0.0094258
60,12109.7,1.43781,0.7044,0.86534,0.91593,0.82112,0.90565,0.55972,1.29722,0.75814,0.85269,0.0094159,0.0094159,0.0094159
61,12309.4,1.43494,0.70274,0.86534,0.91346,0.81861,0.9013,0.56015,1.27119,0.78909,0.84616,0.009406,0.009406,0.009406
62,12516.9,1.4233,0.69766,0.8634,0.91955,0.81792,0.90392,0.56055,1.27354,0.79983,0.84941,0.0093961,0.0093961,0.0093961
63,12727.6,1.43359,0.70552,0.86796,0.91101,0.82182,0.9022,0.56162,1.27402,0.75796,0.84841,0.0093862,0.0093862,0.0093862
64,12927.3,1.42917,0.70127,0.86566,0.91507,0.80387,0.89351,0.55148,1.28746,0.77182,0.84964,0.0093763,0.0093763,0.0093763
65,13127.6,1.42849,0.70214,0.86631,0.92476,0.8192,0.90503,0.56621,1.2597,0.75197,0.84513,0.0093664,0.0093664,0.0093664
